"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"0","JJETAS-W-KIRK","WR","MIN","24.0","24.9","27.9","26.5","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","25.825","0"
"00","JAMARR-W-BURROW","WR","CIN","9.1","8.1","26.1","14.3","52.2","14.0","BYE","25.2","8.1","23.4","-","-","-","-","-","-","-","-","18.05","0"
"000","AMARI-W-WATSON","WR","CLE","6.7","16.0","24.6","-","-","-","-","-","24.9","15.8","-","-","-","-","-","-","-","-","17.6","0"
"0000", "MOORE-W-FIELDS","WR","CHI","4.5","16.4","13.1","27.1","49","-","-","-","-","-","22.6","22.4","BYE","26.8","9.2","4.8","30.9","","20.618","0"
"1","CeeDee Lamb","WR","DAL","11.7","25.3","10.2","14.8","8.9","18.7","BYE","41","28.1","39.5","16.5","17.3","32.6","19.1","18.6","25.2","40.2","","23","367.7"
"2","Tyreek Hill","WR","MIA","44.5","15","30.7","10.2","32.1","28.3","25.8","25.2","12.5","BYE","30.6","25.4","32.3","10.1","-","18.9","13.6","","23.7","355.2"
"3","Amon-Ra St. Brown","WR","DET","19.1","14.2","19.6","16.6","-","30.4","23.2","16.8","BYE","30.5","21.7","18.5","12.9","5.1","24.2","28.6","22.1","","20.2","303.5"
"4","A.J. Brown","WR","PHI","14.9","6.9","22.1","38.5","18.7","20.1","29.7","33","19.6","BYE","1.8","14.7","19.4","16.4","10.6","14","9.3","","18.1","289.7"
"5","Puka Nacua","WR","LAR","21.9","30.1","12.2","31.3","20.1","6.6","23.4","7.3","6.2","BYE","18.7","6.7","23.9","14","10.3","33","18.7","","17.8","284.4"
"6","Keenan Allen","WR","LAC","14.2","31.1","45.5","12.2","BYE","21.5","9.5","14.9","15.7","40.5","27.6","22.6","10.8","12.8","-","-","-","","21.5","278.9"
"7","Mike Evans","WR","TB","18.6","29.1","17","7","BYE","8.9","20.2","12.9","12.7","26.3","15.3","25","29.2","1.8","15.7","27.6","10","","17.3","277.3"
"8","DJ Moore","WR","CHI","4.5","16.4","13.1","27.1","49","10.1","13.4","9.5","5.4","10.9","22.6","22.4","BYE","26.8","9.2","4.8","30.9","","17.3","276.1"
"9","Stefon Diggs","WR","BUF","26.2","13.6","19.1","36","24.1","20","17.8","16","22.6","6.4","6.7","19.4","BYE","6.4","8.8","7.9","7.1","","16.1","258.1"
"10","Ja'Marr Chase","WR","CIN","9.1","8.1","26.1","14.3","52.2","14","BYE","25.2","8.1","23.4","9.2","12.1","31.6","5.9","10.4","-","7.1","","17.1","256.8"
"11","Davante Adams","WR","LV","12.6","20.4","42.2","15.5","8.5","4.9","12.7","2.1","7.4","14.6","21.2","12.3","BYE","12.3","24.1","1.4","37.6","","15.6","249.8"
"12","Brandon Aiyuk","WR","SF","32.9","7.3","-","20.8","9.8","11.6","10.7","15.9","BYE","14.5","26.6","13","15.6","16.6","6.7","17.3","24.4","","16.2","243.7"
"13","Michael Pittman Jr.","WR","IND","23.7","13.6","16.7","4.5","10.2","19.9","16.3","18","14.4","16.4","BYE","20.7","27.5","19.5","11.8","-","9.6","","16.2","242.8"
"14","Deebo Samuel","WR","SF","11.3","22.1","25.1","0.6","11.5","1.1","-","-","BYE","15.9","9.2","22.4","35.8","34","21.9","9.4","18.2","","17","238.5"
"15","Adam Thielen","WR","CAR","3.2","20.4","31.5","15.2","27.7","28.5","BYE","15.2","7.9","10.2","15.4","1.2","5.5","12.4","8.3","15.4","9.8","","14.2","227.8"
"16","DeVonta Smith","WR","PHI","17.7","23.1","6.8","14.8","1.6","9.4","8.9","22.9","14.1","BYE","15.9","23.6","24.6","10.3","10","17.9","6","","14.2","227.6"
"17","Amari Cooper","WR","CLE","6.7","16","24.6","2.6","BYE","14.8","4.2","14.9","24.9","15.8","7.4","3.6","6.4","12.7","20.9","51.5","-","","15.1","227"
"18","Nico Collins","WR","HOU","14","27.6","5.4","35.8","6.9","12","BYE","7","14.4","-","13.5","23.4","34.1","2.3","-","13.8","15.7","","16.1","225.9"
"19","DK Metcalf","WR","SEA","13.7","13.5","17.2","12.4","BYE","10.9","-","11.7","6","16.8","20.4","6.2","37.4","13.2","12.8","15.6","15.6","","14.9","223.4"
"20","Chris Olave","WR","NO","19.2","14.6","18.4","1.4","9.2","16.6","12.7","9.6","16.6","21.4","BYE","18.4","16.9","12.8","-","23.3","5.6","","14.4","216.7"
"21","Rashee Rice","WR","KC","11.6","4","10.9","6.2","13.3","11.2","17","9.6","9.7","BYE","8.2","24.7","14.4","18.2","24.1","11.7","17.7","","13.3","212.5"
"22","George Pickens","WR","PIT","8.6","22.7","11.5","5.5","26.6","BYE","15.7","9.2","1.9","7.5","7.7","8.8","12.6","6.9","7.7","35.5","20.1","","13","208.5"
"23","Garrett Wilson","WR","NYJ","14.4","16.3","9.8","15","8.4","17","BYE","17.6","13","18.3","0.9","17.4","8","20.1","5.9","15.8","9.9","","13","207.8"
"24","Calvin Ridley","WR","JAC","24.1","5.2","7","11.8","20.6","6.6","1.5","14.3","BYE","4","31.1","21.9","7.3","9.3","8.9","25.8","7.9","","13","207.3"
"25","Zay Flowers","WR","BAL","17.7","10.8","13","8","12.3","17.1","11.5","6.9","2.1","12.3","8","23.2","BYE","20","1.7","22.2","19.6","","12.9","206.4"
"26","DeAndre Hopkins","WR","TEN","13.5","8","7.8","10.3","22","3","BYE","34.8","10.5","5.7","15.9","7.9","18.9","25.4","4.1","4","14.2","","12.9","206"
"27","Jordan Addison","WR","MIN","16.1","16.2","11.2","0","18.4","11.8","31.3","21.4","10.2","10.9","7.4","9.9","BYE","4.7","29.1","1.2","5.8","","12.9","205.6"
"28","Jayden Reed","WR","GB","6.6","19.7","9.3","10.5","1.7","BYE","11.1","12.3","7","19.4","19.2","15","5.6","20.5","17.2","-","26.9","","13.5","202"
"29","Jaylen Waddle","WR","MIA","11.8","12.4","-","8.6","14.5","18.1","12.3","25.1","8.4","BYE","9.5","19.4","10.2","13.9","28.2","6.2","-","","14.2","198.6"
"30","Chris Godwin","WR","TB","10.1","10.8","8.2","19.4","BYE","13.7","12.6","17.8","3.6","9.4","9.9","7.5","7.9","10.3","25.5","13.9","17.1","","12.4","197.7"
"31","Jakobi Meyers","WR","LV","29.1","-","15.5","5.3","20.5","17.1","18","2.9","13.5","4.1","8.9","20.1","BYE","7.5","15.7","7.2","11.6","","13.1","197"
"32","Terry McLaurin","WR","WAS","5.1","16.4","10.1","16.6","8.9","14.1","15","17.3","12.3","7.3","9.3","9","0","BYE","26.1","8","16.1","","12","191.6"
"33","Courtland Sutton","WR","DEN","13.2","11.6","19.1","11.7","2.3","14.6","19.6","10.9","BYE","17.3","16.6","9.1","15.7","15.2","12.1","0","-","","12.6","189"
"34","Tyler Lockett","WR","SEA","3","25.9","8.4","9.4","BYE","15.4","7.8","22.1","6.2","23.2","10.1","6","9.7","14.9","5.1","16.1","2","","11.6","185.3"
"35","Romeo Doubs","WR","GB","18.6","5","18.3","18.5","1.4","BYE","11","11.8","6.6","12.1","16.3","6.7","11.2","7.2","6","17.9","5.8","","10.9","174.4"
"36","Drake London","WR","ATL","0","18.7","5.1","11.8","14.7","21.5","11.4","10.5","-","6.6","BYE","14.1","1.8","29.2","4.4","6.9","9.6","","11.1","166.3"
"37","Justin Jefferson","WR","MIN","24","24.9","27.9","26.5","5.8","-","-","-","-","-","-","-","BYE","4.7","15.4","26.1","10.9","","18.5","166.2"
"38","Tank Dell","WR","HOU","6.4","20.2","25.5","3.9","8.3","-","BYE","6.1","29.6","18.9","28.9","17.2","0","-","-","-","-","","15","165"
"39","Cooper Kupp","WR","LAR","-","-","-","-","19.8","27.8","6.9","6.1","6.8","BYE","2.1","4.8","15.9","25.5","25.1","10.9","12.7","","13.7","164.4"
"40","Gabe Davis","WR","BUF","5.2","21.2","10.3","15.1","22","3.1","1.6","23.7","0","9.6","0","22.5","BYE","0","0","23","4.1","","10.1","161.4"
"41","Brandin Cooks","WR","DAL","4.2","-","3.7","6.7","2.3","15","BYE","14.2","1.7","32.3","7.2","17.2","16.5","5.7","3","10.3","17","","10.5","157"
"42","Curtis Samuel","WR","WAS","11","6.2","7.4","18.2","18.5","14.2","6.5","6.2","-","2.6","1.5","19","10.5","BYE","21.1","3","6.3","","10.1","152.2"
"43","Christian Kirk","WR","JAC","1.9","22","15.4","16.4","14.4","13.9","19","8.6","BYE","14.4","7.8","12.9","3.6","-","-","-","-","","12.5","150.3"
"44","Josh Downs","WR","IND","6","7.7","13.7","5.4","15.7","13.1","23.5","14.2","2","6","BYE","9.3","4.4","6.2","4.9","9.9","7.3","","9.3","149.3"
"45","Jaxon Smith-Njigba","WR","SEA","4.3","8.4","2","3.5","BYE","8.8","16.3","12.6","12.3","9.3","7","6.1","13.2","6.5","14.8","12.1","8.2","","9.1","145.4"
"46","Tyler Boyd","WR","CIN","3","11.2","8.9","6.6","9.9","16.8","BYE","13.6","8.6","19.7","5.2","5.3","8.2","4.3","7.3","10.9","4.9","","9","144.4"
"47","Rashid Shaheed","WR","NO","19","10.3","6","6.3","4.8","18.3","7.2","24.3","5.2","7.4","BYE","2.9","-","0","6.6","18.4","3.4","","9.3","140.1"
